review_text,cleaned_text,sentiment_vader,sentiment_blob,language,sentiment_swn
"Couvee Seturan adalah salah satu tempat nongkrong favorit di Jogja. Dengan suasana nyaman dan interior yang estetik, kafe ini cocok buat kamu yang ingin bersantai, bekerja, atau sekedar ngobrol sama teman. Pilihan kopinya beragam, dari yang klasik sampai yang kekinian. Harganya juga cukup terjangkau, jadi nggak bikin kantong jebol. Tapi karena tempatnya populer, siap-siap aja antri, terutama di akhir pekan. Kalau kamu lagi di Jogja, wajib banget cobain mampir ke sini!",couvee seturan salah nongkrong favorit jogja suasana nyaman interior estetik kafe cocok bersantai sekedar ngobrol teman pilihan kopinya beragam klasik kekinian harganya terjangkau nggak bikin kantong jebol tempatnya populer siapsiap aja antri pekan jogja wajib banget cobain mampir,Netral,Netral,id,positive
"couvee dah kaya rumahh, tempatnya nyaman, fasilitasnyaa juga, tempat sholat bersih toilet bersih. Pelayanan jugaa ramah2. menunya juga hampir semua sukaaak🫶",couvee dah kaya rumahh tempatnya nyaman fasilitasnyaa sholat bersih toilet bersih pelayanan jugaa ramah menunya sukaaak,Netral,Negatif,id,neutral
"Aku gak tau gimana lagi mengungkapkan rasa cintaku pada kopi satu ini, hampir tiap minggu pasti kesini buat menikmati segelas Everyday Latte, Java atau Americano House Blendnya.

Ambiance yang sangat mendukung untuk bekerja, nugas maupun sekedar berdiam diri sambil baca buku. Spacenya banyak dan beragam.

Semua barista dan karyawannya ramah semua.",gak tau gimana cintaku kopi minggu kesini menikmati segelas everyday latte java americano house blendnya ambiance mendukung nugas sekedar berdiam baca buku spacenya beragam barista karyawannya ramah,Netral,Negatif,id,positive
"Kopi dengan cita rasa terbaik dan didukung suasana yang nyaman. Sejak dulu, couvee sudah menjadi opsi utamaku kalau mau minum kopi. Selalu beli basic white tanpa gula, dan lebih seringnya take away sih. Akhir-akhir ini aku baru mencoba untuk beraktivitas di sini. Lantai 1 nyaman banget buat mengerjakan tugas. Didukung hawa yang dingin dari AC dan internet yang cukup kencang. Meja dan colokannya memadai. Ruangan dan toiletnya juga bersih. Pelayanan oke dan ramah. Lengkap sudah, kopi enak + suasana nyaman. Minuman non-coffee juga enak dan bisa dicoba.

Bagian gak enaknya mungkin di parkiran sih yang lebih memadai untuk motor, kalau untuk mobil kayaknya susah. Di waktu-waktu tertentu sering rame juga dan malah bisa gak kebagian tempat untuk di bagian ruangannya. Antrian cukup bersaing dengan driver ojek online. Meski begitu, secara keseluruhan kedai kopi ini menjadi favoritku dan kurekomendasikan untuk orang-orang. 😁",kopi cita terbaik didukung suasana nyaman couvee opsi utamaku minum kopi beli basic white gula take away sih akhirakhir mencoba beraktivitas lantai nyaman banget tugas didukung hawa dingin ac internet kencang meja colokannya memadai ruangan toiletnya bersih pelayanan oke ramah lengkap kopi enak suasana nyaman minuman noncoffee enak dicoba gak enaknya parkiran sih memadai motor mobil kayaknya susah waktuwaktu rame gak kebagian ruangannya antrian bersaing driver ojek online kedai kopi favoritku kurekomendasikan orangorang,Netral,Netral,id,positive
"Couvee Seturan dikenal sebagai cabang yang ramah untuk co worker, ruangan luas dan penataan rapi dengan sharing table di tengah. Stop kontak hampir ada di tiap bangku nya dan AC yang cukup dingin menjadikan customer nyaman. Kini area belakang sedikit direnovasi menjadi area semi outdoor yang estetik. Pelayanan ramah dan helpful. Untuk cita rasa kopinya, Couvee sudah menjadi salah satu signature kopi susunya warga Jogja. Taste yang bitter nutty menjadi khas Couvee yang sudah melekat di lidah. Harga terjangkau dan ada beberapa pilihan menu pastry sebagai pendamping minum kopi.",couvee seturan dikenal cabang ramah co worker ruangan luas penataan rapi sharing table stop kontak bangku nya ac dingin menjadikan customer nyaman area direnovasi area semi outdoor estetik pelayanan ramah helpful cita kopinya couvee salah signature kopi susunya warga jogja taste bitter nutty khas couvee melekat lidah harga terjangkau pilihan menu pastry pendamping minum kopi,Positif,Negatif,id,positive
"Sengaja banget mampir beli couvee langsung di outlet (tapi dibawa pulang). Emang lagi doyan jajan minuman ke coffee shop dan lagi nyobain macem² merk. Saya sebenarnya pengguna cashless (lebih seneng bayar non tunai). Tapi kemarin saya lagi pengen bayar cash. Dan disana MENOLAK dibayar cash dgn alasan tdk ada kembalian. Okke saya tidak masalah. Saya bayar dgn QRIS. Dan untuk pertama kalinya uang saya 'NYANGKUT' (Padahal beli sayur di warung rumahan aja ga pernah uang saya nyangkut). Sempet konfirmasi bolak balik (krn antrian panjang, ga enak dgn pelanggan lain) dan barista yg CEWEK yg melayani sejak awal JUTEK dan tidak memberi solusi sama sekali. Hanya suruh nunggu saja. Saya akhirnya ditanggapi oleh Barista cowok. Dan masih bolak balik sambil saya tunjukkan bukti QRIS saya di email. Saya jg info klo saldo saya sudah berkurang. Dia menanggapi dengan ramah. Dia menyampaikan memang sering terjadi hal seperti itu, dan uang biasanya akan kembali. Akhirnya saya membayar dengan pembayaran baru. Katanya misal pembayaran ter-double maka saya bs datang lagi untuk mengambil uang tsb dgn menunjukkan nota. Ya memang 45.000 itu tidak seberapa. Tapi misal terjadi ke banyak orang, maka banyak yg dirugikan. Dan saya baca di ratting pun ada yg mengalami hal yg sama disini.
Dan saya berharap bisa bayar CASH di couvee krn ternyata ada yg mengeluhkan tdk bs bayar cash juga disini. Dan sampai hari ini terhitung sudah 2hari uang saya masih belum kembali.

Kalau untuk tempatnya sebenarnya cukup standar dgn coffee shop lainnya. Tapi parkir terbatas. Tidak bs bawa mobil.
Untuk barista, tolong diajarkan keramahan. Kalau orang berpenampilan sederhana bukan berarti tidak mampu beli di cofee shop. Krn dari caranya bersikap terlihat seperti merendahkan.
Untuk menu yg saya beli black coffee dan matcha latte. Rasanya enak.",sengaja banget mampir beli couvee langsung outlet dibawa pulang emang doyan jajan minuman coffee shop nyobain macem merk pengguna cashless seneng bayar non tunai kemarin pengen bayar cash disana menolak dibayar cash dgn alasan tdk kembalian okke bayar dgn qris kalinya uang nyangkut beli sayur warung rumahan aja ga uang nyangkut sempet konfirmasi bolak krn antrian ga enak dgn pelanggan barista yg cewek yg melayani jutek solusi suruh nunggu ditanggapi barista cowok bolak tunjukkan bukti qris email jg info klo saldo berkurang menanggapi ramah uang membayar pembayaran pembayaran terdouble bs mengambil uang tsb dgn nota ya orang yg dirugikan baca ratting yg mengalami yg berharap bayar cash couvee krn yg mengeluhkan tdk bs bayar cash terhitung uang tempatnya standar dgn coffee shop parkir terbatas bs bawa mobil barista tolong diajarkan keramahan orang berpenampilan sederhana beli cofee shop krn bersikap merendahkan menu yg beli black coffee matcha latte enak,Netral,Negatif,id,negative
"Kopinya enak, perpaduannya pas, kopinya pas berasa. Jika ga tlalu suka kopi bgt ada yg creamy, tgl memilih sesuai selera. Tempatnya juga enak buat nongkrong.",kopinya enak perpaduannya pas kopinya pas berasa ga tlalu suka kopi bgt yg creamy tgl memilih sesuai selera tempatnya enak nongkrong,Netral,Netral,id,neutral
"Coba kesini karena menginap di hotel sebelah. Penasaran karena tempatny yang selalu ramai. Saya dan keluarga pesan:
Kopi Java, vanilla latte, kopi gula merah, Caramel machiato n pandan latte.

Semuany tidak ad yang gagal. Enak semua. Kopinya berasa banget,n creamy.
Saya sampai minum 2 hari berturut-turut. Tapi harus tahan antriannya yang panjang, bisa menunggu kurang lebih 1 jam.

Saya nyaman disini ❤️",coba kesini menginap hotel sebelah penasaran tempatny ramai keluarga pesan kopi java vanilla latte kopi gula merah caramel machiato n pandan latte semuany ad gagal enak kopinya berasa bangetn creamy minum berturutturut tahan antriannya menunggu jam nyaman,Netral,Netral,id,positive
"sukaaa bgt sama red velvetnya, rasanya ga ky red velvet biasanya mnrut aku 🤩",sukaaa bgt red velvetnya ga ky red velvet mnrut,Netral,Netral,id,neutral
"pelayanan ramah dan lumayan cepet. tempat nyaman buat bekerja dan nugas, cukup luas",pelayanan ramah lumayan cepet nyaman nugas luas,Netral,Netral,id,neutral
"Setelah renovasi, space yang tadinya semi outdoor dijadikan indoor dan ber-AC. Semakin luas dan banyak pilihan tempat duduk untuk nugas. Kopinya tidak diragukan salah satu yang terenak di Jogja.

Iced Americano (Arabica, 20k)
Double Shot Espresso (Arabica, 15k)",renovasi space semi outdoor dijadikan indoor berac luas pilihan duduk nugas kopinya diragukan salah terenak jogja iced americano arabica k double shot espresso arabica k,Netral,Netral,id,positive
Order via gofood ke hotel. Matcha dan kopsus nya enak🫶🏻,order via gofood hotel matcha kopsus nya enak,Netral,Netral,af,neutral
