Transaction_ID,Date,Region,Product,Customer_Age,Customer_Gender,Customer_Segment,Sales_Channel,Units_Sold,Unit_Price,Discount,Tax,Revenue,Expenses,Profit,Profit_Margin,Operational_Inefficiency
TXN000001,2023-01-31,North,Groceries,30,Female,Enterprise,Online,6,472.54,38.76,64.35,4565.97,2405.68,2095.94,0.46,Normal
TXN000002,2023-12-30,Central,Home Essentials,21,Female,Retail,Mixed,6,622.4,175.75,97.92,3996.78,3176.25,722.61,0.18,High
TXN000003,2022-05-10,Central,Furniture,40,Male,Wholesale,Mixed,6,693.79,36.74,110.26,7462.08,4777.02,2574.8,0.35,Normal
TXN000004,2023-07-18,East,Furniture,25,Male,Retail,Online,4,109.37,8.03,20.49,551.24,283.57,247.18,0.45,Normal
TXN000005,2023-02-04,Central,Groceries,30,Male,Wholesale,Offline,3,712.07,136.87,54.15,3077.35,2356.23,666.97,0.22,High
TXN000006,2022-12-31,West,Furniture,41,Non-Binary,Enterprise,Mixed,4,780.66,39.88,152.65,4444.68,3127.48,1164.55,0.26,High
TXN000007,2024-09-20,South,Furniture,57,Non-Binary,Enterprise,Mixed,7,380.26,113.48,39.47,1880.58,1476.41,364.7,0.19,High
TXN000008,2022-11-10,South,Groceries,63,Female,Retail,Offline,4,675.99,38.84,77.36,2842.43,2180.05,585.02,0.21,High
TXN000009,2024-06-26,North,Clothing,47,Male,Retail,Mixed,8,116.71,24.24,9.76,1138.26,741.06,387.44,0.34,Normal
TXN000010,2020-05-01,Central,Home Essentials,47,Female,Retail,Offline,2,994.12,139.56,97.36,3301.29,1887.78,1316.15,0.4,Normal
TXN000011,2021-04-11,North,Clothing,42,Female,Enterprise,Offline,9,90.72,7.09,6.22,1500.05,954.34,539.49,0.36,Normal
TXN000012,2023-05-23,South,Clothing,50,Non-Binary,Retail,Online,9,218.92,58.19,30.4,2624.63,1344.81,1249.42,0.48,Normal
TXN000013,2020-11-26,South,Home Essentials,26,Non-Binary,Enterprise,Offline,5,763.64,142.41,149.48,3801.25,2533.13,1118.64,0.29,Normal
TXN000014,2024-01-22,Central,Clothing,43,Female,Wholesale,Online,4,960.7,209.24,177.36,5064.43,2933.77,1953.3,0.39,Normal
TXN000015,2020-03-28,West,Groceries,41,Non-Binary,Retail,Online,5,269.7,66.5,32.77,2031.21,1516.58,481.86,0.24,High
TXN000016,2023-10-28,West,Home Essentials,50,Non-Binary,Retail,Online,5,116.54,21.91,13.43,498.7,256.69,228.58,0.46,Normal
TXN000017,2023-01-28,Central,Electronics,56,Non-Binary,Wholesale,Mixed,4,158.49,17.92,21.16,973.74,682.68,269.9,0.28,High
TXN000018,2022-05-21,Central,Clothing,42,Female,Wholesale,Mixed,7,689.57,88.29,95.36,7692.2,5584.26,2012.58,0.26,High
TXN000019,2024-08-14,North,Furniture,69,Female,Wholesale,Offline,6,519.92,133.31,82.81,2675.4,2035.76,556.83,0.21,High
TXN000020,2020-05-10,Central,Home Essentials,62,Female,Wholesale,Online,13,885.52,218.32,48.28,16370.92,10558.32,5764.32,0.35,Normal
TXN000021,2024-08-12,West,Electronics,32,Male,Enterprise,Mixed,6,118.82,6.37,9.33,786.68,474.4,302.95,0.39,Normal
TXN000022,2023-08-25,Central,Furniture,58,Female,Retail,Mixed,6,511.4,99.57,28.93,2710.07,1832.39,848.75,0.31,Normal
TXN000023,2022-02-08,North,Electronics,65,Non-Binary,Enterprise,Offline,4,620.29,147.83,100.0,3422.54,1957.27,1365.27,0.4,Normal
TXN000024,2020-12-09,North,Clothing,66,Female,Enterprise,Mixed,10,865.35,65.05,97.17,10589.26,7070.43,3421.66,0.32,Normal
TXN000025,2024-02-24,North,Furniture,58,Male,Wholesale,Mixed,6,562.66,114.42,29.32,5125.45,3912.83,1183.3,0.23,High
TXN000026,2023-12-08,North,Clothing,23,Non-Binary,Retail,Mixed,9,198.88,33.12,35.3,1950.09,1505.39,409.4,0.21,High
TXN000027,2022-03-16,East,Furniture,37,Female,Enterprise,Mixed,7,891.04,93.07,72.97,11063.02,7235.62,3754.43,0.34,Normal
TXN000028,2021-01-20,Central,Home Essentials,61,Female,Enterprise,Mixed,4,868.45,181.86,65.73,4583.02,3014.31,1502.98,0.33,Normal
TXN000029,2023-04-30,South,Groceries,33,Non-Binary,Wholesale,Mixed,4,875.76,109.4,77.29,5946.97,3117.43,2752.25,0.46,Normal
TXN000030,2022-08-13,Central,Groceries,38,Female,Retail,Offline,5,595.18,59.52,78.32,3122.81,1830.88,1213.61,0.39,Normal
TXN000031,2020-10-03,East,Electronics,32,Male,Retail,Online,10,964.06,156.48,122.31,8082.12,5677.06,2282.75,0.28,High
TXN000032,2023-03-30,North,Furniture,56,Non-Binary,Retail,Mixed,9,564.48,113.11,80.16,8123.14,6347.78,1695.2,0.21,High
TXN000033,2021-04-04,East,Clothing,59,Female,Enterprise,Online,8,165.7,26.2,28.58,2231.37,1381.95,820.84,0.37,Normal
TXN000034,2023-08-30,West,Home Essentials,21,Non-Binary,Wholesale,Offline,6,411.49,114.24,29.36,1913.41,1259.48,624.57,0.33,Normal
TXN000035,2020-01-22,West,Home Essentials,41,Female,Retail,Offline,9,828.4,227.82,106.04,9107.05,6925.07,2075.94,0.23,High
TXN000036,2020-09-09,Central,Home Essentials,20,Female,Enterprise,Online,7,978.82,139.3,185.56,6062.1,3346.47,2530.07,0.42,Normal
TXN000037,2022-01-17,Central,Groceries,67,Non-Binary,Enterprise,Online,5,834.3,85.8,60.19,6153.57,4759.33,1334.05,0.22,High
TXN000038,2022-05-06,South,Clothing,18,Female,Retail,Offline,4,375.97,103.41,62.61,2085.82,1357.61,665.6,0.32,Normal
TXN000039,2024-05-03,South,Home Essentials,47,Female,Wholesale,Mixed,5,29.59,4.56,5.45,240.62,137.02,98.15,0.41,Normal
TXN000040,2021-04-19,West,Home Essentials,30,Non-Binary,Wholesale,Online,4,194.63,24.85,11.12,1342.51,977.04,354.35,0.26,High
TXN000041,2022-12-18,North,Electronics,35,Female,Retail,Online,4,56.24,16.29,5.81,221.97,113.39,102.77,0.46,Normal
TXN000042,2021-05-25,East,Furniture,57,Female,Enterprise,Mixed,4,825.39,142.95,47.72,4915.78,2459.75,2408.31,0.49,Normal
TXN000043,2024-09-01,South,Furniture,28,Non-Binary,Wholesale,Online,6,320.39,86.04,60.05,1490.46,917.65,512.76,0.34,Normal
TXN000044,2024-02-08,South,Furniture,59,Male,Enterprise,Mixed,6,701.18,36.67,70.37,7220.66,5477.51,1672.78,0.23,High
TXN000045,2021-11-30,North,Electronics,46,Male,Enterprise,Offline,5,420.41,26.78,26.22,2451.65,1388.35,1037.08,0.42,Normal
TXN000046,2022-09-02,North,Groceries,21,Male,Wholesale,Online,6,287.37,48.77,18.03,1517.49,871.25,628.21,0.41,Normal
TXN000047,2024-12-11,Central,Electronics,42,Male,Enterprise,Mixed,4,534.08,113.77,81.28,2251.79,1600.19,570.32,0.25,High
TXN000048,2020-07-08,East,Home Essentials,53,Male,Enterprise,Mixed,5,499.44,84.79,99.48,2976.41,1773.06,1103.87,0.37,Normal
TXN000049,2022-08-15,North,Clothing,53,Male,Retail,Offline,2,826.6,139.26,115.38,1585.5,1128.82,341.3,0.22,High
TXN000050,2021-11-17,South,Home Essentials,61,Non-Binary,Wholesale,Online,11,702.3,93.11,35.46,7749.63,4861.2,2852.97,0.37,Normal
TXN000051,2022-08-15,South,Home Essentials,57,Non-Binary,Enterprise,Mixed,10,324.22,53.2,30.62,3125.83,2041.4,1053.81,0.34,Normal
TXN000052,2021-07-16,West,Clothing,45,Non-Binary,Wholesale,Online,4,809.99,209.29,51.65,3307.43,2091.75,1164.03,0.35,Normal
TXN000053,2024-05-09,North,Furniture,62,Female,Wholesale,Mixed,13,606.13,145.69,53.5,11329.92,7997.93,3278.49,0.29,High
TXN000054,2023-06-21,Central,Electronics,25,Male,Enterprise,Online,11,352.79,37.88,56.95,5507.37,3579.11,1871.31,0.34,Normal
TXN000055,2022-04-11,East,Groceries,38,Male,Wholesale,Online,6,814.28,187.04,89.5,7500.44,5548.34,1862.6,0.25,High
TXN000056,2024-03-08,Central,Home Essentials,52,Non-Binary,Retail,Mixed,9,382.74,84.6,33.24,5260.49,3548.64,1678.61,0.32,Normal
TXN000057,2023-02-28,South,Home Essentials,61,Female,Retail,Mixed,7,71.79,5.99,7.78,886.61,662.3,216.53,0.24,High
TXN000058,2024-02-17,Central,Groceries,35,Female,Enterprise,Online,6,881.3,234.32,92.28,7250.22,4907.92,2250.02,0.31,Normal
TXN000059,2021-10-08,South,Electronics,64,Non-Binary,Wholesale,Online,7,455.77,29.64,38.44,2994.51,1964.74,991.33,0.33,Normal
TXN000060,2020-01-21,South,Home Essentials,42,Male,Enterprise,Offline,6,336.12,17.2,22.54,3208.66,1940.05,1246.07,0.39,Normal
TXN000061,2022-04-20,South,Groceries,63,Female,Wholesale,Mixed,6,915.29,230.06,157.19,8116.61,5524.96,2434.46,0.3,Normal
TXN000062,2020-06-15,South,Home Essentials,58,Male,Enterprise,Online,6,266.81,56.57,39.95,2058.46,1404.13,614.38,0.3,Normal
TXN000063,2023-07-21,South,Furniture,22,Female,Enterprise,Online,4,970.76,94.64,88.0,4679.52,2509.53,2081.99,0.44,Normal
TXN000064,2021-01-22,West,Furniture,64,Male,Wholesale,Mixed,8,47.97,11.09,2.87,497.1,266.63,227.6,0.46,Normal
TXN000065,2021-08-23,Central,Home Essentials,25,Female,Retail,Online,4,676.32,182.49,105.89,2187.03,1182.67,898.47,0.41,Normal
TXN000066,2020-11-11,West,Home Essentials,40,Male,Enterprise,Online,4,78.49,7.39,6.4,320.38,198.17,115.81,0.36,Normal
TXN000067,2020-01-14,West,Furniture,20,Male,Retail,Offline,7,109.06,14.58,16.09,1070.96,820.72,234.15,0.22,High
TXN000068,2020-08-29,North,Home Essentials,61,Male,Wholesale,Offline,10,961.55,245.6,110.1,7680.99,5921.32,1649.57,0.21,High
TXN000069,2022-02-15,North,Electronics,54,Non-Binary,Enterprise,Mixed,9,921.94,221.77,88.59,11694.56,7087.13,4518.84,0.39,Normal
TXN000070,2023-10-01,North,Electronics,48,Male,Wholesale,Mixed,6,846.93,170.71,71.89,4057.34,2370.28,1615.17,0.4,Normal
TXN000071,2021-07-18,East,Clothing,46,Male,Retail,Mixed,12,685.38,101.04,57.86,9535.62,4882.33,4595.43,0.48,Normal
TXN000072,2022-06-16,North,Electronics,58,Female,Wholesale,Offline,7,477.41,73.46,31.18,4614.25,2637.41,1945.66,0.42,Normal
