order_id,customer_id,order_date,amount
ORD000001,CUST28,2023-09-15,201.42
ORD000002,CUST1,2023-05-21,207.23
ORD000003,CUST1,2023-06-26,393.52
ORD000004,CUST31,2023-12-06,445.16
ORD000005,CUST44,2023-06-26,176.11
ORD000006,CUST32,2023-07-17,229.67
ORD000007,CUST9,2023-02-17,392.6
ORD000008,CUST21,2023-10-27,363.52
ORD000009,CUST10,2023-01-14,124.6
ORD000010,CUST40,2023-03-22,478.07
ORD000011,CUST10,2023-11-04,207.92
ORD000012,CUST14,2023-07-08,81.7
ORD000013,CUST38,2023-01-12,145.8
ORD000014,CUST8,2023-08-30,105.47
ORD000015,CUST20,2023-09-20,396.26
ORD000016,CUST4,2023-10-28,479.55
ORD000017,CUST1,2023-12-24,348.56
ORD000018,CUST29,2023-03-26,33.74
ORD000019,CUST31,2023-11-01,226.66
ORD000020,CUST22,2023-08-09,290.87
ORD000021,CUST21,2023-03-06,430.25
ORD000022,CUST35,2023-09-11,84.33
ORD000023,CUST26,2023-05-18,373.59
ORD000024,CUST38,2023-05-04,93.22
ORD000025,CUST3,2023-04-08,195.3
ORD000026,CUST6,2023-11-16,62.69
ORD000027,CUST18,2023-05-22,467.75
ORD000028,CUST36,2023-11-17,153.39
ORD000029,CUST19,2023-04-16,417.2
ORD000030,CUST13,2023-10-07,325.26
ORD000031,CUST46,2023-12-16,74.17
ORD000032,CUST7,2023-04-14,45.59
ORD000033,CUST6,2023-11-30,318.3
ORD000034,CUST16,2023-07-11,470.53
ORD000035,CUST14,2023-11-09,341.5
ORD000036,CUST23,2023-09-26,374.13
ORD000037,CUST21,2023-06-13,383.71
ORD000038,CUST13,2023-03-10,312.35
ORD000039,CUST47,2023-06-05,65.29
ORD000040,CUST29,2023-04-10,481.22
ORD000041,CUST6,2023-01-30,178.52
ORD000042,CUST24,2023-01-25,122.8
ORD000043,CUST32,2023-05-10,481.51
ORD000044,CUST46,2023-09-07,192.1
ORD000045,CUST27,2023-08-13,492.88
ORD000046,CUST27,2023-05-04,141.48
ORD000047,CUST2,2023-08-27,174.15
ORD000048,CUST35,2023-05-27,124.81
ORD000049,CUST48,2023-08-27,361.88
ORD000050,CUST6,2023-06-27,441.85
ORD000051,CUST5,2023-08-31,68.71
ORD000052,CUST1,2023-07-24,260.22
ORD000053,CUST20,2023-03-15,39.19
ORD000054,CUST12,2023-11-20,388.9
ORD000055,CUST47,2023-08-10,123.38
ORD000056,CUST20,2023-08-30,474.53
ORD000057,CUST25,2023-01-10,460.97
ORD000058,CUST37,2023-03-07,50.17
ORD000059,CUST4,2023-06-10,177.66
ORD000060,CUST32,2023-04-08,131.62
ORD000061,CUST12,2023-10-13,458.18
ORD000062,CUST23,2023-10-23,53.64
ORD000063,CUST34,2023-09-03,125.65
ORD000064,CUST42,2023-05-28,208.52
ORD000065,CUST9,2023-01-13,275.28
ORD000066,CUST43,2023-04-11,170.41
ORD000067,CUST48,2023-04-06,344.57
ORD000068,CUST50,2023-11-19,374.47
ORD000069,CUST17,2023-05-03,309.45
ORD000070,CUST34,2023-08-11,259.73
ORD000071,CUST50,2023-05-20,448.02
ORD000072,CUST15,2023-10-06,172.97
ORD000073,CUST10,2023-05-08,357.18
ORD000074,CUST7,2023-08-10,314.17
ORD000075,CUST25,2023-09-10,62.24
ORD000076,CUST48,2023-05-25,490.58
ORD000077,CUST39,2023-05-14,417.56
ORD000078,CUST33,2023-06-02,219.88
ORD000079,CUST8,2023-03-10,78.5
ORD000080,CUST32,2023-05-02,68.08
ORD000081,CUST18,2023-07-30,88.58
ORD000082,CUST36,2023-03-13,412.86
ORD000083,CUST14,2023-09-23,445.93
ORD000084,CUST44,2023-05-05,368.5
ORD000085,CUST20,2023-12-14,82.81
ORD000086,CUST20,2023-06-19,356.56
ORD000087,CUST29,2023-03-06,226.89
ORD000088,CUST16,2023-07-13,469.01
ORD000089,CUST24,2023-06-27,441.36
ORD000090,CUST19,2023-01-06,352.85
ORD000091,CUST32,2023-10-07,29.89
ORD000092,CUST31,2023-10-09,443.03
ORD000093,CUST7,2023-01-30,212.92
ORD000094,CUST29,2023-04-07,44.76
ORD000095,CUST15,2023-10-04,16.77
ORD000096,CUST40,2023-09-09,32.56
ORD000097,CUST9,2023-06-29,155.37
ORD000098,CUST39,2023-08-26,309.89
ORD000099,CUST24,2023-05-04,156.15
ORD000100,CUST17,2023-03-06,263.07
ORD000101,CUST15,2023-09-27,441.74
ORD000102,CUST8,2023-07-13,349.74
ORD000103,CUST22,2023-08-15,49.8
ORD000104,CUST17,2023-08-10,18.09
ORD000105,CUST47,2023-06-10,248.94
ORD000106,CUST1,2023-01-01,93.16
ORD000107,CUST40,2023-08-29,56.42
ORD000108,CUST14,2023-05-24,37.94
ORD000109,CUST23,2023-05-20,270.96
ORD000110,CUST3,2023-11-23,296.49
ORD000111,CUST1,2023-03-16,467.42
ORD000112,CUST31,2023-09-16,174.07
ORD000113,CUST13,2023-12-10,386.87
ORD000114,CUST14,2023-07-05,255.11
ORD000115,CUST20,2023-08-29,393.0
ORD000116,CUST28,2023-02-20,299.87
ORD000117,CUST49,2023-07-20,136.99
ORD000118,CUST34,2023-06-07,82.23
ORD000119,CUST46,2023-12-24,213.82
ORD000120,CUST21,2023-07-14,245.92
ORD000121,CUST14,2023-04-23,59.82
ORD000122,CUST49,2023-12-25,68.87
ORD000123,CUST12,2023-05-15,67.95
ORD000124,CUST5,2023-05-13,305.99
ORD000125,CUST27,2023-01-11,200.53
ORD000126,CUST38,2023-03-16,408.41
ORD000127,CUST10,2023-08-22,488.4
ORD000128,CUST26,2023-10-16,50.51
ORD000129,CUST24,2023-01-14,47.02
ORD000130,CUST37,2023-08-09,308.61
ORD000131,CUST14,2023-04-07,71.85
ORD000132,CUST39,2023-05-04,50.12
ORD000133,CUST50,2023-04-09,64.03
ORD000134,CUST50,2023-08-16,215.58
ORD000135,CUST11,2023-08-19,238.52
ORD000136,CUST25,2023-04-27,104.45
ORD000137,CUST38,2023-02-28,417.95
ORD000138,CUST26,2023-03-13,244.71
ORD000139,CUST24,2023-02-08,68.47
ORD000140,CUST22,2023-11-20,317.59
ORD000141,CUST21,2023-09-16,295.62
ORD000142,CUST3,2023-09-02,417.06
ORD000143,CUST20,2023-07-21,187.86
ORD000144,CUST1,2023-09-18,440.05
ORD000145,CUST47,2023-06-03,42.86
ORD000146,CUST48,2023-10-22,488.96
ORD000147,CUST43,2023-01-30,207.5
ORD000148,CUST11,2023-09-16,346.47
ORD000149,CUST46,2023-02-10,498.63
ORD000150,CUST50,2023-04-19,23.92
ORD000151,CUST28,2023-05-22,137.64
ORD000152,CUST39,2023-11-05,198.88
ORD000153,CUST19,2023-10-15,221.65
ORD000154,CUST48,2023-09-27,200.2
ORD000155,CUST29,2023-11-06,225.27
ORD000156,CUST41,2023-07-12,431.68
ORD000157,CUST39,2023-02-03,289.02
ORD000158,CUST15,2023-09-13,204.3
ORD000159,CUST29,2023-01-08,135.96
ORD000160,CUST37,2023-11-08,158.44
ORD000161,CUST31,2023-01-10,210.9
