Location,Property_Type,Bedrooms,Amenities,Price_Per_Night,Occupancy_Rate,Total_Revenue,Month,Holiday_Season,Rating,Num_Reviews
Bali,House,4,"Kitchen, Gym",187.72,0.93,5237.39,4,0,4.8,117
Bandung,Apartment,5,"Kitchen, Parking, Pool, Gym, WiFi",287.35,0.8,6896.4,10,0,3.2,126
Bandung,House,3,"Air Conditioning, WiFi, Kitchen, Pool",38.13,0.84,960.88,6,1,4.2,437
Jakarta,Studio,2,"Parking, WiFi, Air Conditioning, Pool, Kitchen",58.37,0.84,1470.92,8,0,4.2,481
Bali,Studio,5,"Gym, Parking",270.06,0.5,4050.9,8,0,3.1,189
Bali,Villa,1,"Air Conditioning, Kitchen, Pool, Gym",217.21,0.5,3258.15,8,0,3.8,63
Yogyakarta,Apartment,1,"Gym, Air Conditioning, Kitchen",110.28,0.91,3010.64,1,0,4.6,339
Bali,Apartment,2,"Pool, Parking",265.5,0.71,5655.15,1,0,3.4,429
Yogyakarta,Apartment,2,"Air Conditioning, Pool",126.84,0.65,2473.38,10,0,4.3,111
Surabaya,Apartment,4,"WiFi, Kitchen, Pool, Gym",84.21,0.56,1414.73,3,0,3.9,250
Surabaya,Studio,3,"WiFi, Kitchen",93.1,0.64,1787.52,2,0,3.4,157
Bandung,House,2,"Kitchen, Pool",156.28,0.84,3938.26,2,0,4.8,244
Bandung,Studio,1,"Kitchen, Parking, Pool",214.45,0.56,3602.76,7,1,3.0,419
Surabaya,Villa,5,"Air Conditioning, Parking, WiFi, Gym, Kitchen",89.67,0.53,1425.75,7,1,3.8,18
Surabaya,Studio,4,"Air Conditioning, Parking, Kitchen, Gym",181.46,0.79,4300.6,11,0,3.3,86
Bali,Villa,3,"Gym, Kitchen, Parking, Pool, Air Conditioning",217.67,0.45,2938.55,12,1,3.2,447
Surabaya,House,2,"Parking, WiFi, Kitchen, Air Conditioning",133.88,0.61,2450.0,5,0,4.8,335
Yogyakarta,Studio,3,"Parking, WiFi",146.2,0.76,3333.36,4,0,3.6,11
Bandung,Studio,3,"Pool, Parking, Gym, Air Conditioning",42.14,0.95,1200.99,9,0,5.0,247
Bandung,Studio,2,"Gym, Pool, Air Conditioning",141.17,0.79,3345.73,6,1,4.7,139
Jakarta,Studio,1,"Parking, Air Conditioning, WiFi",52.43,0.62,975.2,3,0,3.1,487
Bandung,House,3,"Kitchen, Air Conditioning, Gym, Pool, Parking",176.2,0.58,3065.88,7,1,3.5,284
Bandung,House,2,"Pool, Gym, Kitchen",60.5,0.51,925.65,4,0,4.2,309
Bandung,Apartment,5,"Air Conditioning, WiFi",266.36,0.61,4874.39,1,0,4.2,55
Bali,Apartment,3,"Air Conditioning, Parking, Kitchen, Pool, WiFi",75.35,0.87,1966.63,9,0,3.3,364
Bandung,Apartment,4,"Pool, Kitchen, Parking",242.35,0.77,5598.28,12,1,4.3,101
Jakarta,Villa,4,"Pool, WiFi",72.64,0.79,1721.57,3,0,4.3,184
Surabaya,Studio,4,"Parking, Kitchen, Air Conditioning",260.31,0.69,5388.42,4,0,3.0,176
Surabaya,Studio,4,"Parking, Pool, Kitchen",274.76,0.88,7253.66,8,0,3.0,389
Bali,Apartment,2,"Gym, WiFi, Pool",89.89,0.67,1806.79,12,1,4.9,100
Yogyakarta,Studio,3,"Kitchen, Gym, Pool",171.43,0.86,4422.89,9,0,3.9,320
Surabaya,Villa,1,"Parking, WiFi, Pool",41.54,0.63,785.11,9,0,3.5,479
Jakarta,Studio,5,"Parking, WiFi",183.44,0.93,5117.98,4,0,4.0,426
Bali,Studio,4,"Parking, Gym, WiFi",164.95,0.81,4008.28,4,0,3.4,116
Surabaya,Studio,1,"Gym, WiFi",244.93,0.74,5437.45,12,1,4.4,374
Yogyakarta,House,5,"WiFi, Kitchen, Air Conditioning, Pool",284.5,0.77,6571.95,6,1,4.8,317
Yogyakarta,Studio,1,"Kitchen, WiFi, Pool, Air Conditioning",133.41,0.63,2521.45,5,0,3.3,243
Bandung,Studio,5,"Air Conditioning, Parking, Gym",278.49,0.84,7017.95,4,0,3.9,452
Surabaya,Studio,4,"Gym, Pool, WiFi, Air Conditioning",183.61,0.67,3690.56,5,0,3.7,262
Surabaya,Apartment,4,"Kitchen, Pool, Parking",84.45,0.75,1900.13,6,1,3.9,376
Surabaya,Villa,1,"Kitchen, Gym, WiFi, Parking, Air Conditioning",52.39,0.92,1445.96,5,0,4.3,454
Bandung,House,1,"Parking, Air Conditioning, Gym, Pool, Kitchen",75.91,0.77,1753.52,2,0,4.7,459
Bali,Villa,1,"Gym, Parking, Pool",233.94,0.66,4632.01,3,0,4.2,38
Surabaya,House,4,"Gym, Air Conditioning, WiFi, Parking, Pool",141.7,0.51,2168.01,12,1,4.2,419
Jakarta,Villa,5,"Gym, WiFi, Pool, Parking",150.85,0.6,2715.3,1,0,3.3,17
Surabaya,Apartment,4,"Pool, Gym, Kitchen",100.65,0.46,1388.97,3,0,3.6,177
Surabaya,Villa,1,"WiFi, Air Conditioning, Kitchen, Pool, Parking",195.57,0.9,5280.39,7,1,3.3,130
Jakarta,House,1,"Gym, Parking, Air Conditioning, Kitchen, WiFi",234.5,0.48,3376.8,1,0,4.2,360
Bali,Apartment,3,"Air Conditioning, Gym, Parking",181.59,0.73,3976.82,5,0,4.0,298
