Location,Property_Type,Bedrooms,Amenities,Price_Per_Night,Occupancy_Rate,Total_Revenue,Month,Holiday_Season,Rating,Num_Reviews
Surabaya,Apartment,4,"WiFi, Kitchen, Pool, Air Conditioning",185.5,0.72,4006.8,6,1,4.3,136
Surabaya,Villa,4,"Kitchen, WiFi, Parking",55.59,0.69,1150.71,6,1,3.6,425
Surabaya,Villa,4,"Pool, Kitchen",260.54,0.42,3282.8,2,0,3.2,182
Surabaya,Studio,2,"Kitchen, Air Conditioning, Pool, Gym, Parking",113.83,0.77,2629.47,6,1,3.9,422
Bandung,Apartment,3,"Kitchen, Gym, WiFi, Air Conditioning, Parking",71.85,0.64,1379.52,9,0,4.8,204
Bali,Studio,3,"Gym, Parking",284.1,0.94,8011.62,6,1,4.9,296
Bandung,Villa,4,"Parking, Air Conditioning, WiFi, Kitchen",45.12,0.43,582.05,8,0,3.1,82
Jakarta,Apartment,2,"Air Conditioning, WiFi, Gym, Kitchen",285.36,0.48,4109.18,12,1,3.9,141
Surabaya,Apartment,3,"Gym, Pool, Air Conditioning, Parking",93.8,0.4,1125.6,1,0,4.3,480
Jakarta,House,4,"Gym, WiFi, Kitchen, Parking",57.84,0.49,850.25,8,0,4.4,302
Bali,Apartment,1,"WiFi, Kitchen",149.04,0.71,3174.55,10,0,4.4,407
Yogyakarta,Studio,4,"Pool, WiFi",263.63,0.63,4982.61,12,1,4.4,448
Surabaya,Villa,2,"Gym, Pool, WiFi",241.42,0.55,3983.43,10,0,4.2,156
Surabaya,Apartment,1,"Parking, Gym, Air Conditioning, Pool",299.81,0.5,4497.15,8,0,3.5,109
Jakarta,Apartment,3,"Parking, WiFi, Air Conditioning",137.07,0.53,2179.41,12,1,3.3,102
Surabaya,Studio,2,"WiFi, Kitchen, Gym",134.65,0.84,3393.18,2,0,3.5,400
Bali,Studio,5,"Air Conditioning, Pool, Gym, WiFi, Parking",49.18,0.94,1386.88,5,0,4.0,140
Yogyakarta,House,2,"Gym, WiFi, Air Conditioning",200.16,0.62,3722.98,2,0,3.2,218
Bali,Studio,4,"Air Conditioning, Kitchen, Gym, WiFi",71.71,0.43,925.06,2,0,4.2,174
Bali,Villa,4,"Parking, Pool, WiFi, Gym",163.97,0.49,2410.36,9,0,4.4,359
Bali,Apartment,5,"Parking, Gym, Air Conditioning, WiFi",94.68,0.52,1477.01,11,0,4.4,445
Bali,Villa,2,"Parking, Kitchen",289.89,0.93,8087.93,6,1,3.6,387
Bali,Villa,1,"Gym, WiFi",186.51,0.86,4811.96,7,1,4.7,307
Bali,House,1,"WiFi, Gym, Pool",85.6,0.5,1284.0,6,1,4.6,175
Bali,Villa,1,"WiFi, Parking, Kitchen, Air Conditioning, Pool",34.99,0.6,629.82,11,0,3.3,22
Bandung,Studio,4,"Air Conditioning, Kitchen, Gym, Pool",111.05,0.4,1332.6,9,0,3.4,165
Yogyakarta,Apartment,2,"Gym, WiFi",98.09,0.65,1912.76,2,0,3.4,150
Bali,Apartment,4,"Kitchen, Air Conditioning, Pool, Gym",93.96,0.59,1663.09,9,0,4.6,433
Bandung,House,4,"Gym, Air Conditioning, Kitchen, WiFi",192.88,0.77,4455.53,5,0,3.1,161
Jakarta,Studio,5,"Parking, Air Conditioning, Pool",161.84,0.73,3544.3,10,0,3.6,232
Bandung,Villa,1,"Air Conditioning, Parking",254.58,0.53,4047.82,6,1,3.4,54
Yogyakarta,Studio,1,"Kitchen, Gym, Parking, Air Conditioning, Pool",116.57,0.61,2133.23,11,0,4.9,474
Jakarta,Apartment,3,"Kitchen, Air Conditioning, Parking",213.71,0.61,3910.89,3,0,3.9,475
Jakarta,Villa,4,"Air Conditioning, Parking, Pool, WiFi",243.78,0.45,3291.03,11,0,4.1,249
Surabaya,House,1,"Kitchen, WiFi, Parking, Air Conditioning",104.02,0.82,2558.89,3,0,3.4,245
Yogyakarta,House,5,"Parking, Gym, Pool",102.99,0.87,2688.04,9,0,3.2,370
Bandung,Villa,3,"Parking, WiFi, Gym, Pool, Air Conditioning",151.03,0.72,3262.25,5,0,3.1,45
Jakarta,House,2,"Parking, Air Conditioning, WiFi",51.12,0.64,981.5,1,0,3.0,282
Surabaya,Villa,2,"WiFi, Parking, Air Conditioning",100.99,0.5,1514.85,6,1,3.3,74
Jakarta,Apartment,4,"Pool, Parking",221.82,0.82,5456.77,11,0,3.9,233
Bandung,Apartment,5,"Kitchen, WiFi, Air Conditioning",228.87,0.82,5630.2,2,0,4.4,370
Yogyakarta,Studio,2,"Air Conditioning, Parking, Kitchen",61.96,0.58,1078.1,12,1,4.4,17
Bandung,Villa,4,"Kitchen, Air Conditioning, Parking, WiFi, Pool",188.02,0.86,4850.92,11,0,3.1,99
Jakarta,Studio,5,"Kitchen, Parking, WiFi, Gym, Air Conditioning",58.48,0.5,877.2,12,1,4.7,476
Jakarta,Villa,5,"Air Conditioning, Kitchen, WiFi",126.69,0.72,2736.5,7,1,4.0,168
Jakarta,Villa,1,"Air Conditioning, WiFi, Parking, Gym",185.31,0.45,2501.68,8,0,3.2,71
Surabaya,Studio,5,"WiFi, Air Conditioning",45.7,0.49,671.79,9,0,4.5,77
Bali,Apartment,4,"Pool, WiFi",107.14,0.52,1671.38,11,0,3.9,237
Bandung,Studio,3,"Gym, Parking, Kitchen, Pool",168.72,0.79,3998.66,3,0,4.8,158
Yogyakarta,Villa,1,"Gym, Pool",174.42,0.71,3715.15,3,0,4.0,294
Bali,House,3,"Air Conditioning, Pool, WiFi, Parking, Gym",265.64,0.46,3665.83,4,0,4.4,368
Bali,Villa,1,"Gym, Parking, WiFi, Pool, Kitchen",217.49,0.67,4371.55,3,0,4.1,435
Jakarta,Villa,1,"Air Conditioning, Gym",201.71,0.53,3207.19,12,1,4.0,43
Bandung,Studio,5,"Parking, Air Conditioning",45.88,0.65,894.66,5,0,4.4,33
Bali,Apartment,1,"Air Conditioning, Kitchen",149.02,0.67,2995.3,4,0,4.2,453
Yogyakarta,Apartment,3,"Parking, Pool, WiFi",186.08,0.92,5135.81,2,0,4.6,197
Jakarta,Villa,2,"Parking, Pool",133.2,0.7,2797.2,2,0,4.4,48
Jakarta,Studio,1,"Air Conditioning, Parking, Pool, Kitchen",174.21,0.64,3344.83,11,0,4.7,219
Jakarta,Villa,2,"WiFi, Kitchen, Pool, Gym, Air Conditioning",184.52,0.45,2491.02,9,0,4.8,342
Bandung,Apartment,5,"Kitchen, Gym, WiFi",49.92,0.61,913.54,10,0,3.9,476
Surabaya,House,1,"Air Conditioning, WiFi",283.58,0.67,5699.96,11,0,4.8,128
Bandung,Villa,5,"WiFi, Gym, Pool",274.05,0.64,5261.76,8,0,3.7,500
Yogyakarta,Apartment,3,"Parking, Pool, Gym, Kitchen, Air Conditioning",273.61,0.73,5992.06,9,0,3.1,367
Surabaya,House,2,"Parking, Pool, Gym",82.53,0.72,1782.65,7,1,4.4,358
Yogyakarta,House,2,"WiFi, Gym, Parking, Kitchen",281.37,0.46,3882.91,2,0,4.0,27
Bandung,Apartment,2,"Parking, Kitchen, Air Conditioning, Gym, Pool",52.51,0.87,1370.51,6,1,4.6,180
Jakarta,Studio,4,"Kitchen, Air Conditioning, WiFi",211.47,0.55,3489.26,5,0,3.8,478
Yogyakarta,Villa,1,"WiFi, Air Conditioning, Parking",139.64,0.81,3393.25,9,0,3.8,490
Bali,Apartment,1,"Gym, WiFi, Pool, Parking, Air Conditioning",89.42,0.9,2414.34,4,0,4.3,37
Surabaya,Studio,3,"Kitchen, Parking",275.53,0.66,5455.49,6,1,3.7,270
Bali,Studio,3,"Pool, WiFi, Air Conditioning",97.38,0.73,2132.62,8,0,3.9,173
Bandung,Apartment,5,"WiFi, Air Conditioning",37.04,0.69,766.73,11,0,4.4,279
Surabaya,House,3,"Air Conditioning, Gym, Pool, Parking",282.0,0.88,7444.8,4,0,4.8,11
Yogyakarta,Villa,4,"Pool, Air Conditioning",201.22,0.57,3440.86,10,0,4.8,192
Jakarta,Studio,1,"Kitchen, Pool, Gym, Parking",60.39,0.89,1612.41,6,1,4.8,181
Bali,House,5,"Kitchen, Pool",158.87,0.5,2383.05,9,0,3.0,395
