order_detail_id,order_id,product_id,quantity,subtotal
198886,416925,87521,2,312.76
798399,416925,28132,1,9.6
78251,416925,94098,5,29.55
733566,416925,31960,4,52.28
563220,416925,31960,4,52.28
914453,416925,21487,4,59.08
611855,416925,28453,3,6.18
196721,416925,62414,1,42.31
654688,416925,27096,2,32.58
397089,793299,85663,5,41.85
485552,793299,29611,1,400.47
521536,793299,85663,4,33.48
655057,793299,91222,5,78.7
383554,793299,60016,5,46.6
854729,146642,10743,1,16.92
683999,146642,20181,3,65.79
116868,146642,27096,3,48.87
495776,146642,50568,3,26.19
877225,146642,60016,2,18.64
325602,146642,98047,4,16.72
805667,146642,96317,3,36.84
447420,146642,85663,4,33.48
483327,146642,45871,5,60.85
481738,955217,13893,4,40.4
102598,955217,48410,3,8.79
816265,955217,22702,1,9.03
84598,955217,85724,3,22.95
7056,955217,81308,3,90.72
961964,955217,48410,4,11.72
704523,955217,68100,2,104.74
751137,955217,16842,1,1.91
107201,955217,67419,1,2.13
683109,101101,54009,3,41.88
33815,972593,78864,3,496.74
697513,972593,37702,3,11.28
708408,972593,28132,5,48.0
977088,972593,89443,3,52.59
389035,972593,28132,3,28.8
850312,972593,94098,3,17.73
807609,972593,91222,3,47.22
947856,972593,60016,2,18.64
485397,972593,27096,2,32.58
532797,693435,67419,5,10.65
203346,693435,16842,2,3.82
615320,693435,48410,4,11.72
58717,693435,45871,5,60.85
580648,768736,31960,2,26.14
309210,891739,28453,2,4.12
753537,891739,10743,4,67.68
558694,891739,64132,4,768.28
96634,891739,29611,2,800.94
523986,891739,565,1,1061.27
490086,388605,28135,2,231.14
45821,388605,10539,4,30.08
531372,388605,16842,2,3.82
935971,388605,16395,1,14.53
462095,388605,29611,5,2002.35
517934,388605,9617,2,36.86
623074,388605,565,4,4245.08
741398,388605,64132,1,192.07
634276,388605,10743,1,16.92
408794,388605,94098,1,5.91
363928,630796,28135,1,115.57
604652,630796,43313,1,21.96
407836,630796,98047,2,8.36
544139,630796,9617,1,18.43
343994,630796,87327,5,836.2
344650,630796,43313,1,21.96
84581,630796,89443,5,87.65
528338,928581,68100,1,52.37
587308,928581,85724,3,22.95
686468,928581,45871,1,12.17
342778,928581,68100,1,52.37
603324,928581,87521,2,312.76
687451,928581,43313,3,65.88
322148,928581,78864,3,496.74
236246,928581,8565,3,40.5
437188,928581,45871,5,60.85
867199,700243,96317,3,36.84
113881,700243,4245,3,42.81
682460,700243,91222,5,78.7
973291,700243,78864,5,827.9
156563,700243,8565,2,27.0
684522,700243,48410,5,14.65
118153,836473,565,2,2122.54
425861,836473,90475,4,37.2
274980,836473,1330,4,20.8
811496,87654,8565,3,40.5
307799,87654,96317,5,61.4
399372,242205,27096,3,48.87
235606,242205,28135,3,346.71
704675,242205,28135,5,577.85
33911,242205,12020,2,62.12
99816,242205,85663,4,33.48
805988,242205,10539,3,22.56
992824,242205,28453,5,10.3
289161,242205,81552,3,8.76
69639,78294,22702,4,36.12
968135,337491,94885,4,64.56
122431,337491,1330,1,5.2
868811,784060,85724,2,15.3
72615,784060,94098,2,11.82
893815,784060,96317,2,24.56
789477,784060,67419,2,4.26
73129,784060,447,5,180.9
693593,822576,29611,5,2002.35
278107,822576,62414,2,84.62
536227,822576,87327,4,668.96
863100,822576,16395,4,58.12
50474,822576,13893,3,30.3
262145,253864,28132,4,38.4
660466,253864,10743,4,67.68
787327,253864,10743,5,84.6
526004,253864,90475,2,18.6
73658,307702,96317,5,61.4
852490,307702,16842,4,7.64
940375,307702,87327,1,167.24
434828,307702,16842,2,3.82
963447,307702,447,2,72.36
806340,460177,62414,1,42.31
879531,460177,21487,2,29.54
565106,460177,96317,1,12.28
334661,460177,87327,1,167.24
607944,460177,1330,5,26.0
612535,460177,68100,3,157.11
941868,460177,20181,4,87.72
525510,194885,54009,2,27.92
105121,194885,28132,5,48.0
705822,194885,13362,3,117.84
732153,194885,91222,4,62.96
187734,194885,12020,1,31.06
273925,194885,8565,5,67.5
495227,194885,98047,2,8.36
128149,969050,64132,5,960.35
193958,969050,91222,3,47.22
125683,969050,77976,1,29.65
904370,969050,28453,4,8.24
893857,969050,37702,5,18.8
136477,969050,10743,4,67.68
369383,969050,9617,2,36.86
965318,969050,81308,3,90.72
259927,969050,81308,5,151.2
293599,529406,37702,3,11.28
363437,529406,98047,1,4.18
696998,529406,28132,5,48.0
735149,529406,60016,4,37.28
948052,304554,565,3,3183.81
466986,304554,78864,2,331.16
574250,304554,16395,3,43.59
173263,304554,45871,4,48.68
203950,304554,96317,4,49.12
50090,304554,74528,2,269.64
867392,304554,565,3,3183.81
89760,304554,12020,3,93.18
939267,304554,10743,3,50.76
551209,24487,81308,5,151.2
936795,24487,98047,1,4.18
82187,24487,89443,1,17.53
256197,24487,27096,1,16.29
290369,24487,565,2,2122.54
898955,907350,81552,4,11.68
330500,907350,12020,1,31.06
490536,907350,29611,4,1601.88
211740,907350,8565,3,40.5
481467,907350,60016,5,46.6
951340,907350,50568,1,8.73
320871,145681,37702,4,15.04
75919,145681,1330,4,20.8
818327,145681,64132,5,960.35
802544,145681,28135,4,462.28
388118,145681,16842,1,1.91
794259,145681,565,3,3183.81
720430,119777,98047,1,4.18
841811,119777,74528,2,269.64
343169,119777,28132,2,19.2
114102,119777,10539,5,37.6
198139,119777,13362,1,39.28
169286,119777,98047,3,12.54
309748,119777,89443,2,35.06
253362,119777,96317,2,24.56
594498,491637,96317,3,36.84
853911,491637,70707,3,31.2
672923,491637,60016,4,37.28
990262,491637,81308,2,60.48
989386,491637,43313,2,43.92
55486,491637,81308,2,60.48
776805,491637,67419,3,6.39
768028,491637,28132,2,19.2
880099,746787,98047,5,20.9
295636,201545,12020,4,124.24
915003,201545,85663,1,8.37
529740,201545,8565,1,13.5
669942,201545,62414,4,169.24
404645,201545,87521,5,781.9
26929,201545,13362,3,117.84
547701,201545,77976,3,88.95
124533,201545,43313,5,109.8
768714,201545,29611,4,1601.88
769601,201545,13893,4,40.4
550828,330885,28453,3,6.18
235717,330885,447,3,108.54
180723,330885,12020,3,93.18
251123,330885,98047,4,16.72
408845,335399,98047,4,16.72
711132,335399,447,5,180.9
735279,335399,81552,2,5.84
374906,335399,89443,5,87.65
989902,335399,28135,5,577.85
406644,335399,91222,3,47.22
544772,335399,27096,5,81.45
157359,335399,64132,4,768.28
255632,504094,85663,1,8.37
915591,504094,85724,1,7.65
615262,504094,565,4,4245.08
203996,504094,85663,4,33.48
875421,504094,45871,2,24.34
461905,504094,20181,1,21.93
448560,504094,74528,4,539.28
710571,554295,10743,5,84.6
509933,554295,98047,4,16.72
427010,554295,94098,2,11.82
89952,554295,45871,5,60.85
601169,554295,13362,5,196.4
160577,554295,28132,2,19.2
400602,554295,81552,1,2.92
657199,554295,87521,4,625.52
197933,554295,565,2,2122.54
682445,554295,48410,1,2.93
379529,700492,28135,4,462.28
303586,700492,31960,2,26.14
512388,700492,565,3,3183.81
199327,700492,87521,2,312.76
880535,469905,78864,1,165.58
269058,469905,96317,5,61.4
989698,469905,16842,2,3.82
541761,469905,64132,4,768.28
648342,469905,70707,3,31.2
19201,681894,74528,3,404.46
186915,681894,28135,5,577.85
200288,681894,8565,2,27.0
711156,681894,74528,2,269.64
815996,681894,96317,1,12.28
993413,681894,85724,4,30.6
472901,255328,94098,2,11.82
555634,255328,28453,5,10.3
307157,255328,20181,2,43.86
896820,255328,13362,2,78.56
361390,255328,13362,2,78.56
852169,96790,10743,5,84.6
700844,96790,13893,2,20.2
2498,96790,45871,2,24.34
201465,876758,29611,4,1601.88
135506,876758,37702,3,11.28
26388,876758,77976,1,29.65
489408,876758,64132,1,192.07
517069,876758,90475,5,46.5
978394,876758,28453,5,10.3
886984,876758,54009,4,55.84
243228,876758,85724,1,7.65
946307,876758,85724,2,15.3
585667,217741,1330,1,5.2
779385,217741,91222,5,78.7
28976,217741,89443,3,52.59
523866,217741,22702,1,9.03
205095,217741,45871,4,48.68
859530,558622,29611,2,800.94
906084,558622,28132,5,48.0
845075,558622,81552,4,11.68
916045,558622,91222,4,62.96
889649,558622,50568,2,17.46
15585,748996,45871,3,36.51
565162,748996,4245,4,57.08
940107,748996,94098,5,29.55
734028,748996,447,1,36.18
211059,975945,27096,3,48.87
400447,975945,90475,5,46.5
946222,975945,98047,4,16.72
872282,975945,68100,3,157.11
227232,975945,90475,2,18.6
609542,975945,60016,3,27.96
982317,975945,10743,4,67.68
251342,719575,31960,1,13.07
257660,719575,22702,4,36.12
325232,719575,12020,5,155.3
504293,719575,1330,2,10.4
89735,719575,565,4,4245.08
101461,719575,13893,3,30.3
94395,719575,96317,5,61.4
752158,353677,20181,1,21.93
859580,797347,81552,1,2.92
199476,797347,78864,4,662.32
220971,797347,1330,1,5.2
679555,797347,60016,2,18.64
646461,797347,48410,4,11.72
298892,797347,96317,5,61.4
96127,797347,13362,5,196.4
142248,797347,8565,1,13.5
551084,797347,27096,1,16.29
205113,764486,50568,5,43.65
579482,764486,67419,2,4.26
237245,764486,62414,1,42.31
405890,763825,94098,5,29.55
707690,763825,16395,4,58.12
619467,763825,22702,2,18.06
442571,797852,37702,3,11.28
228768,797852,27096,2,32.58
486032,797852,1330,3,15.6
829846,797852,29611,5,2002.35
968024,797852,77976,1,29.65
192584,797852,74528,1,134.82
75403,797852,45871,3,36.51
525934,797852,98047,2,8.36
800655,797852,13362,1,39.28
48229,797852,20181,3,65.79
784160,97230,68100,2,104.74
280287,97230,85724,4,30.6
461726,97230,31960,5,65.35
371341,97230,31960,2,26.14
502770,97230,31960,4,52.28
291730,853750,87521,4,625.52
388289,853750,12020,4,124.24
452242,853750,81552,2,5.84
194051,853750,9617,1,18.43
436541,853750,10539,4,30.08
803918,853750,565,3,3183.81
385698,853750,89443,1,17.53
725050,322232,91222,2,31.48
861620,322232,78864,4,662.32
66907,322232,91222,4,62.96
48837,322232,81552,1,2.92
3315,322232,89443,1,17.53
84132,406254,50568,4,34.92
761531,406254,4245,1,14.27
137014,406254,20181,2,43.86
802236,406254,28135,5,577.85
843386,406254,60016,1,9.32
398707,406254,91222,1,15.74
218790,406254,28135,1,115.57
937361,406254,89443,5,87.65
555179,406254,87327,1,167.24
971871,406254,4245,4,57.08
768556,717738,78864,3,496.74
506949,717738,1330,5,26.0
246712,433481,21487,3,44.31
20859,433481,67419,1,2.13
277822,620175,89443,1,17.53
307405,620175,8565,2,27.0
222447,806193,78864,2,331.16
591103,806193,29611,3,1201.41
657815,806193,96317,1,12.28
630795,806193,28453,3,6.18
123090,806193,10743,4,67.68
958709,806193,94885,3,48.42
245983,806193,28132,4,38.4
945401,806193,16395,3,43.59
902998,806193,8565,1,13.5
366200,875436,10539,5,37.6
93784,875436,28135,1,115.57
97959,875436,45871,3,36.51
226868,875436,91222,2,31.48
565837,171542,81552,2,5.84
308546,171542,85724,5,38.25
567171,171542,91222,1,15.74
413493,171542,94098,2,11.82
768990,957148,87521,1,156.38
696328,957148,565,5,5306.35
426243,957148,4245,1,14.27
859367,957148,37702,5,18.8
277724,957148,13362,1,39.28
164504,957148,60016,3,27.96
985736,957148,4245,5,71.35
